location,individual,RH,AGB,LA,SLA,LDMC,FvFm,PI,SPS,SPI
Er,Er_14,70.10,2.00,1035.61,12.42,289.81,0.84,8.80,261.42,3.06
Er,Er_15,27.60,0.58,297.53,19.84,269.78,0.86,9.04,241.67,2.23
Er,Er_16,39.10,1.51,421.46,14.89,295.25,0.83,6.24,256.74,2.15
Er,Er_17,48.00,1.43,577.98,18.29,263.44,0.85,8.78,300.64,1.77
Er,Er_18,42.20,1.63,1113.31,14.47,260.76,0.85,10.69,187.07,2.18
Er,Er_19,35.00,0.97,1170.79,18.93,223.81,0.86,10.88,188.00,2.18
Er,Er_20,22.70,0.38,530.27,18.48,250.33,0.85,7.90,218.24,2.69
Gr,Gr_01,28.40,0.46,729.26,17.90,246.82,0.85,11.48,234.54,3.44
Gr,Gr_02,30.60,0.87,1024.50,17.56,258.30,0.84,9.45,231.04,2.97
Gr,Gr_03,23.70,0.58,531.11,18.25,271.58,0.85,10.91,236.34,2.34
Gr,Gr_04,33.60,1.20,693.49,19.34,240.52,0.85,11.31,272.58,2.15
Gr,Gr_05,26.20,0.41,760.58,17.25,260.18,0.85,10.61,281.80,2.67
Gr,Gr_06,29.50,1.31,1192.89,17.80,258.79,0.85,7.44,278.42,2.3
Gr,Gr_07,27.00,1.12,1208.29,16.95,258.10,0.85,8.16,292.86,2.24
Gr,Gr_08,23.50,0.88,604.07,19.03,252.28,0.85,11.51,265.25,2.62
Gr,Gr_09,23.90,0.77,584.00,17.13,271.50,0.86,10.50,254.45,2.6
Gr,Gr_10,30.60,0.76,777.89,17.44,259.53,0.85,12.60,258.45,1.93
Gr,Gr_11,25.90,0.77,1080.93,17.20,275.90,0.86,12.51,299.90,2.85
Gr,Gr_12,28.70,0.97,981.56,15.45,276.12,0.85,13.84,282.31,2.17
Gr,Gr_13,17.30,0.85,1032.03,14.71,289.88,0.84,7.72,280.39,2.64
Gr,Gr_14,31.10,1.59,761.80,18.65,271.25,0.84,11.08,269.80,2.26
Gr,Gr_15,32.00,0.66,644.90,18.61,250.81,0.85,9.74,209.42,2.45
Gr,Gr_16,30.10,0.81,1048.19,16.26,257.54,0.83,5.14,296.50,2.91
Gr,Gr_17,25.80,0.63,1153.42,17.72,256.40,0.85,8.28,292.48,2.28
Gr,Gr_18,28.10,0.57,702.87,22.35,238.53,0.85,8.22,255.85,2.48
Gr,Gr_19,,,,,,0.85,11.62,267.04,2.59
Gr,Gr_20,26.20,1.06,741.44,16.64,293.00,0.85,11.82,265.72,2.62
Eh,Eh_01,64.60,,1200.06,19.82,198.88,0.84,11.89,211.15,2.56
Eh,Eh_02,62.30,1.65,1200.60,18.07,224.08,0.83,10.21,256.87,2.57
Eh,Eh_03,53.20,1.01,1173.23,16.17,241.31,0.84,9.57,251.31,2.31
Eh,Eh_04,51.10,1.04,1314.77,14.00,260.62,0.84,11.12,295.22,2.85
Eh,Eh_05,43.80,0.75,822.10,16.71,240.12,0.85,15.46,262.23,1.96
Eh,Eh_06,38.00,,711.52,17.25,246.64,0.83,8.69,222.03,2.34
Eh,Eh_07,45.40,0.80,1111.49,16.47,249.91,0.84,7.60,299.43,2.93
Eh,Eh_08,41.50,1.23,1285.61,15.00,279.38,0.83,11.87,293.03,2.11
Eh,Eh_09,,,,,,0.85,13.09,315.66,2.26
Eh,Eh_10,56.10,1.01,1495.08,18.63,253.03,0.84,6.31,258.73,2.5
Eh,Eh_11,57.50,1.01,1545.32,15.55,270.77,0.83,7.32,224.44,2.95
Eh,Eh_12,48.60,,1215.52,15.82,269.89,0.82,7.77,254.48,2.96
Eh,Eh_13,61.30,1.11,1156.79,17.62,257.50,,,243.48,2.91
Eh,Eh_14,45.80,,1687.46,17.01,250.41,,,251.26,2.29
Eh,Eh_15,,,1720.85,15.60,252.58,0.86,12.42,279.62,1.92
Eh,Eh_16,,,,,,,,297.46,3.12
Eh,Eh_17,61.10,1.16,1119.85,15.72,259.42,0.86,14.17,242.00,2.5
Eh,Eh_18,53.70,0.73,1387.76,16.69,239.87,0.85,8.53,308.45,1.9
Eh,Eh_19,63.80,1.90,1294.38,14.42,268.19,,,320.49,2.92
Eh,Eh_20,50.70,0.92,1232.92,17.16,256.42,,,248.24,2.61
