Original.F,Location.T,coords.x1,coords.x2
C_undulatum_LL_&_UTM,Single Plant,403595.025,6463315.288
C_undulatum_LL_&_UTM,Single Plant,403585.835,6463307.663
C_undulatum_LL_&_UTM,Single Plant,403495.579,6461785.819
C_undulatum_LL_&_UTM,Single Plant,403491.308,6461787.774
C_undulatum_LL_&_UTM,Single Plant,403696.358,6461838.375
C_undulatum_LL_&_UTM,Single Plant,403693.993,6461838.685
C_undulatum_LL_&_UTM,Single Plant,403694.289,6461837.358
C_undulatum_LL_&_UTM,Single Plant,403375.157,6461449.663
C_undulatum_LL_&_UTM,Single Plant,403374.774,6461450.213
C_undulatum_LL_&_UTM,Single Plant,403373.714,6461452.42
C_undulatum_LL_&_UTM,Single Plant,403374.03,6461448.987
C_undulatum_LL_&_UTM,Single Plant,403354.012,6461467.422
C_undulatum_LL_&_UTM,Single Plant,403355.438,6461466.549
C_undulatum_LL_&_UTM,Single Plant,403390.43,6461433.4
C_undulatum_LL_&_UTM,Single Plant,403419.092,6461410.057
C-undulatum ALL,Single Plant,408569.085,6464711.656
C-undulatum ALL,Single Plant,408538.063,6464692.643
C-undulatum ALL,Single Plant,408441.281,6464628.589
C-undulatum ALL,Single Plant,408458.355,6464621.758
C-undulatum ALL,Single Plant,408475.895,6464615.818
C-undulatum ALL,Single Plant,408559.784,6464641.843
C-undulatum ALL,Single Plant,408535.053,6464648.717
C-undulatum ALL,Single Plant,408495.324,6464662.773
C-undulatum ALL,Single Plant,408486.977,6464666.024
C-undulatum ALL,Single Plant,408464.435,6464671.144
C-undulatum ALL,Single Plant,408432.388,6464671.744
C-undulatum ALL,Single Plant,408413.323,6464710.817
C-undulatum ALL,Single Plant,408429.644,6464714.289
C-undulatum ALL,Single Plant,408454.118,6464715.062
C-undulatum ALL,Single Plant,408470.933,6464716.099
C-undulatum ALL,Single Plant,408478.333,6464702.53
C-undulatum ALL,Single Plant,408481.195,6464710.094
C-undulatum ALL,Single Plant,408487.055,6464710.146
C-undulatum ALL,Single Plant,408485.694,6464703.815
C-undulatum ALL,Single Plant,408493.861,6464688.922
C-undulatum ALL,Single Plant,408494.718,6464698.796
C-undulatum ALL,Single Plant,408499.055,6464689.412
C-undulatum ALL,Single Plant,408503.382,6464681.248
C-undulatum ALL,Single Plant,408509.158,6464701.254
C-undulatum ALL,Single Plant,408508.872,6464701.473
C-undulatum ALL,Single Plant,408522.196,6464722.987
C-undulatum ALL,Single Plant,408536.361,6464713.913
C-undulatum ALL,Single Plant,408577.926,6464716.501
C-undulatum ALL,Single Plant,408567.782,6464719.958
C-undulatum ALL,Single Plant,407700.058,6464911.49
C-undulatum ALL,Single Plant,407665.161,6464923.923
C-undulatum ALL,Single Plant,407679.237,6464935.358
C-undulatum ALL,Single Plant,407679.841,6464920.73
C-undulatum ALL,Single Plant,407673.229,6464899.275
C-undulatum ALL,Single Plant,407655.779,6464895.237
C-undulatum ALL,Single Plant,407649.607,6464898.286
C-undulatum ALL,Single Plant,407543.578,6464958.3
C-undulatum ALL,Single Plant,407546.854,6464961.877
C-undulatum ALL,Single Plant,407580.261,6464978.364
C-undulatum ALL,Single Plant,407607.012,6464978.273
C-undulatum ALL,Single Plant,407625.892,6464980.993
C-undulatum ALL,Single Plant,407626.522,6464984.546
C-undulatum ALL,Single Plant,407626.788,6464986.433
C-undulatum ALL,Single Plant,407625.054,6464990.076
C-undulatum ALL,Single Plant,407624.191,6464991.399
C-undulatum ALL,Single Plant,407621.976,6464995.924
C-undulatum ALL,Single Plant,407620.818,6464998.574
C-undulatum ALL,Single Plant,407619.099,6465000.554
C-undulatum ALL,Single Plant,407617.853,6465002.427
C-undulatum ALL,Single Plant,407615.965,6465002.188
C-undulatum ALL,Single Plant,407614.091,6465000.287
C-undulatum ALL,Single Plant,407609.538,6464991.599
C-undulatum ALL,Single Plant,407609.75,6464989.051
C-undulatum ALL,Single Plant,407609.073,6464990.819
