phylo.name,Species notes,leaf.fresh.weight.g,leaf.dry.weight.g,root.dry.weight.g,stem.dry.weight.g,leaf.area.cm.sq,experiment,all.dry.weight.g,block,harvest.minus.germ.date,average.seed.weight
Aegilops_speltoides,,0.0616,0.0127,0.01689,0.00362,2.9013,A,0.03321,4,18,0.00507
Aegilops_speltoides,,1.3505,0.2344,0.22908,0.07206,71.5011,A,0.53554,5,32,0.00507
Aeluropus_lagopoides,,0.0547,0.0104,0.00726,0.00583,3.0399,B,0.02349,7,38,0.000233333
Aeluropus_lagopoides,,0.0122,0.00208,0.00226,0.00113,0.8565,B,0.00547,5,49,0.000233333
Aeluropus_lagopoides,,0.0039,0.00063,0.00037,0.00026,0.2238,B,0.00126,3,22,0.000233333
Aeluropus_lagopoides,,0.0187,0.00333,0.00209,0.00193,1.3219,B,0.00735,8,48,0.000233333
Aeluropus_lagopoides,,0.0024,0.00046,0.00018,0.00019,0.0849,B,0.00083,4,20,0.000233333
Aeluropus_lagopoides,,0.0076,0.00198,0.00169,0.00108,0.5391,B,0.00475,4,34,0.000233333
Aeluropus_lagopoides,,0.0028,0.00059,0.00049,0.00037,0.1997,B,0.00145,1,22,0.000233333
Aeluropus_lagopoides,,0.0015,0.00034,5.00E-05,7.00E-04,0.1008,B,0.00109,7,25,0.000233333
Aeluropus_lagopoides,,0.0242,0.0076,0.0035,0.00227,1.7332,B,0.01337,6,56,0.000233333
Aeluropus_lagopoides,,NA,0.00015,0.00014,1.00E-05,0.0956,B,3.00E-04,7,12,0.000233333
Aeluropus_macrostachyus,,0.0163,0.0049,0.0032,0.0012,1.1852,A,0.0093,7,17,0.000115833
Aeluropus_macrostachyus,,0.0023,0.00044,0.00101,0.00041,0.2316,A,0.00186,6,23,0.000115833
Aeluropus_macrostachyus,,0.3038,0.0644,0.2871,0.13456,27.6624,A,0.48606,7,40,0.000115833
Aeluropus_macrostachyus,,0.0943,0.0166,0.03475,0.01061,7.5102,A,0.06196,7,31,0.000115833
Aeluropus_macrostachyus,,0.001,0.00054,0.00019,1.00E-05,0.1066,A,0.00074,4,46,0.000115833
Aeluropus_macrostachyus,,0.0113,0.0034,0.0021,0.001,0.8642,A,0.0065,8,17,0.000115833
Aeluropus_macrostachyus,,0.0221,0.0041,0.0019,0.00094,1.5647,A,0.00694,8,60,0.000115833
Aeluropus_macrostachyus,,0.0012,0.00016,0.00017,9.00E-05,0.0768,A,0.00042,7,10,0.000115833
Aeluropus_macrostachyus,,NA,5.00E-05,1.00E-05,0.00121,0.0202,A,0.00127,4,10,0.000115833
