",""species"",""region"",""biome"",""spines"",""hmax"",""sla"",""woo"",""ref.sla"",""ref.woo"",""ref.hmax"",""mat"",""map"",""rs"",""nfires"",""avgfrp"",""cec"",""cly"",""crf"",""orc"",""ph"",""slt"",""snd"""
"68,""Pouteria torta"",""Neotropical"",""savanna"",""n"",35,7.789581887,NA,""Batalaetal2011/Cianciarusoetal2013/Miatto&Batala2016"","""",""Oliveira-Filhoetal2007"",23.9487935483871,2389.70967741935,54.9659548387097,9.39023870967742,15.6365635483871,17.2758620689655,33.8103448275862,7.79310344827586,31.5344827586207,52.9827586206897,24.448275862069,41.7758620689655"
"69,""Pouteria eugeniifolia"",""Neotropical"",""forest"",""n"",NA,NA,1.112565,"""",""Zanneetal2009"","""",24.3792,2142,56.4146,22.8666,21.4217,18.5,39,9,38,47.5,22.5,38"
"70,""Pouteria durlandii"",""Neotropical"",""forest"",""n"",NA,NA,0.58,"""",""Zanneetal2009"","""",23.593164,2197.4,62.028964,31.314344,16.5606852,23.4,36.02,11.4,25.98,57.4,24.42,39.48"
"71,""Pouteria oblanceolata"",""Neotropical"",""forest"",""n"",NA,NA,0.79,"""",""Zanneetal2009"","""",24.655,2261.2,45.63802,1.59062,2.714286,12.4,34.7,14.4,36,48.7,25.4,39.6"
"72,""Pouteria franciscana"",""Neotropical"",""forest"",""n"",NA,NA,0.6,"""",""Zanneetal2009"","""",25.2375,1897.5,52.6141,14.9146,15.85715,11.25,30,2.25,17.5,49.75,33.25,36.5"
"73,""Pouteria pachycalyx"",""Neotropical"",""forest"","""",NA,NA,0.76,"""",""Zanneetal2009"","""",23.8375,1646.5,33.25285,38.1649,15.13545,17.5,32.75,4.5,31.5,53.25,20.5,47"
"74,""Pouteria cladantha"",""Neotropical"",""forest"",""n"",NA,NA,0.9424,"""",""Zanneetal2009"","""",25.60332,2069.4,50.22852,0.19834,1.76,9.7,32.3,5,14.6,49.6,24.3,43.2"
"75,""Pouteria bilocularis"",""Neotropical"",""forest"",""n"",NA,NA,0.707779312,"""",""Zanneetal2009"","""",21.2817230769231,1823.61538461538,50.1640538461538,6.03369230769231,9.367,16.0769230769231,31.8076923076923,11.6923076923077,34.5769230769231,52.1923076923077,25.2692307692308,43.0384615384615"
"76,""Manilkara inundata"",""Neotropical"",""forest"",""n"",NA,NA,0.799871469,"""",""Zanneetal2009"","""",25.1527666666667,2425.66666666667,60.0365,0.994066666666667,8.45,11.5,31.25,1.25,17,50,35.25,33.5"
"77,""Manilkara cavalcantei"",""Neotropical"",""forest"",""n"",NA,NA,0.834,"""",""Zanneetal2009"","""",26.6083,2212,46.9677,0,0,7.5,37,3,13,44,18.5,44.5"
