NA,NA,NA,no_plant,no_survival,no_survival,no_survival,no_survival,no_survival,,no_survival,,no_survival,no_survival,no_survival,no_survival,no_survival,no_survival
Plot,Rep,Entry,6/12/12,6/27/12,7/27/12,8/24/12,9/29/12,10/27/12,%surviorship,4/27/13,%winterkill,5/31/13,6/29/13,8/30/13,5/1/14,6/5/14,8/12/14
218,6,14,10,10,9,9,9,9,0.9,9,0,8,8,8,2,2,1
219,6,34,10,9,4,4,3,2,0.2,2,0,2,2,2,2,2,2
220,6,33,10,10,9,9,9,9,0.9,8,0.11,7,7,2,NA,NA,NA
221,5,29,10,10,10,10,8,7,0.7,7,0,7,7,7,7,7,7
222,5,22,10,10,10,9,9,9,0.9,9,0,9,9,4,4,3,3
223,5,21,10,10,9,9,8,7,0.7,5,0.29,2,2,2,NA,NA,NA
224,5,32,10,10,10,10,9,4,0.4,4,0,4,4,2,NA,NA,2
225,8,1,10,10,2,2,2,2,0.2,2,0,2,2,NA,NA,NA,NA
226,8,8,10,10,7,7,7,7,0.7,7,0,6,6,6,NA,NA,NA
227,8,27,10,10,8,8,8,8,0.8,7,0.13,7,7,7,7,7,7
228,8,21,10,10,8,8,8,8,0.8,8,0,8,7,6,4,4,4
229,7,27,10,10,7,7,7,7,0.7,7,0,7,7,7,7,7,7
230,7,37,10,10,10,10,10,10,1,10,0,10,10,9,9,9,8
231,7,20,10,10,9,9,9,9,0.9,8,0.11,8,8,8,4,4,4
232,7,14,10,10,9,9,9,9,0.9,9,0,9,9,8,5,5,5
233,6,22,10,10,10,10,10,10,1,10,0,10,10,8,8,8,8
234,6,19,10,10,10,10,10,10,1,10,0,10,10,9,1,NA,NA
235,6,3,10,10,7,2,3,1,0.1,1,0,1,1,NA,NA,NA,NA
236,6,36,10,7,6,6,6,6,0.6,6,0,6,6,3,2,2,1
237,5,25,10,9,8,8,7,7,0.7,7,0,5,4,1,NA,NA,NA
238,5,10,10,9,7,7,7,7,0.7,7,0,6,6,3,3,3,3
239,5,6,10,9,7,7,4,4,0.4,4,0,4,4,4,2,2,2
240,5,5,10,9,5,4,4,4,0.4,3,0.25,2,1,NA,NA,NA,NA
241,8,18,8,6,4,2,2,1,0.13,1,0,1,1,NA,NA,NA,NA
242,8,5,7,7,3,3,1,2,0.29,2,0,2,0,NA,NA,NA,NA
243,8,20,10,10,10,10,10,10,1,10,0,9,9,9,5,2,2
244,8,16,5,4,4,3,2,2,0.4,2,0,2,2,2,2,NA,NA
245,7,26,10,9,9,8,8,8,0.8,7,0.13,7,7,5,5,4,4
246,7,34,10,10,9,9,9,9,0.9,7,0.22,7,7,7,7,7,7
247,7,19,10,10,10,10,10,10,1,8,0.2,8,5,6,NA,NA,NA
248,7,33,10,10,10,10,10,9,0.9,5,0.44,3,3,3,NA,NA,NA
249,6,25,10,10,9,9,9,9,0.9,7,0.22,5,5,4,NA,NA,NA
250,6,5,10,8,7,7,3,3,0.3,3,0,3,3,1,1,1,NA
251,6,28,10,10,10,10,10,10,1,10,0,10,9,8,8,8,8
252,6,17,10,9,7,7,7,7,0.7,5,0.29,5,5,NA,NA,NA,NA
253,5,7,10,10,10,9,8,8,0.8,8,0,7,6,3,NA,NA,NA
254,5,38,10,9,6,6,6,6,0.6,4,0.33,4,4,2,2,2,2
255,5,37,10,10,10,10,10,10,1,10,0,10,10,6,6,6,6
256,5,17,10,10,8,8,8,8,0.8,7,0.13,6,6,6,3,2,2
257,8,34,10,8,6,6,6,6,0.6,5,0.17,5,5,5,5,5,5
258,8,25,10,10,9,9,9,9,0.9,9,0,9,8,8,NA,NA,NA
259,8,13,10,9,7,7,7,6,0.6,6,0,6,6,6,4,4,4
260,8,12,10,10,10,10,10,10,1,10,0,10,10,10,8,6,3
261,7,15,10,10,6,6,5,5,0.5,4,0.2,4,4,3,NA,NA,NA
262,7,17,10,10,8,8,8,8,0.8,8,0,7,7,7,5,5,5
263,7,1,10,10,7,5,5,4,0.4,2,0.5,2,1,1,1,1,NA
264,7,12,10,10,10,10,10,10,1,10,0,10,10,10,8,5,5
265,6,5,10,10,6,6,6,5,0.5,5,0,5,5,5,2,2,2
266,6,4,10,10,10,10,10,10,1,10,0,10,10,8,8,7,7
267,6,18,10,10,9,9,9,8,0.8,7,0.13,7,7,1,1,NA,NA
268,6,30,10,10,5,4,4,4,0.4,4,0,4,4,2,2,1,NA
269,5,4,10,9,9,9,9,9,0.9,9,0,9,9,8,6,6,5
270,5,9,10,7,7,7,7,7,0.7,7,0,7,7,5,3,2,2
271,5,2,10,9,8,8,8,8,0.8,8,0,8,8,7,7,7,7
272,5,13,10,8,7,7,7,7,0.7,7,0,7,7,6,5,5,5
273,8,6,10,8,6,5,4,4,0.4,4,0,4,4,4,4,3,3
274,8,3,10,10,6,6,3,3,0.3,2,0.33,2,2,3,1,NA,NA
275,8,31,10,9,9,9,8,8,0.8,8,0,8,8,5,2,2,2
276,8,2,10,10,10,10,10,10,1,10,0,9,9,7,6,6,6
277,7,11,10,10,10,10,10,10,1,8,0.2,8,7,7,1,NA,NA
278,7,38,10,9,8,8,8,8,0.8,8,0,8,8,7,6,6,6
279,7,36,10,9,8,8,8,8,0.8,7,0.13,7,7,6,6,4,4
280,7,9,10,9,9,7,7,7,0.7,6,0.14,6,6,6,4,4,3
281,6,27,10,8,6,6,6,6,0.6,6,0,6,6,4,4,4,4
282,6,26,10,9,7,6,5,4,0.4,4,0,4,4,3,2,2,2
283,6,15,10,9,7,7,7,7,0.7,7,0,7,7,5,NA,NA,NA
284,6,16,10,10,10,10,9,9,0.9,9,0,9,9,5,1,1,1
285,5,31,10,9,8,8,8,8,0.8,8,0,8,8,7,2,2,2
286,5,18,10,10,8,8,8,5,0.5,5,0,5,5,1,1,1,1
287,5,36,10,9,8,8,7,7,0.7,7,0,7,7,2,2,2,2
288,5,33,10,8,7,7,7,7,0.7,4,0.43,3,3,2,NA,NA,NA
289,6,21,10,8,3,3,3,3,0.3,3,0,3,3,3,1,1,1
290,6,13,10,9,7,7,7,7,0.7,7,0,7,7,7,5,3,3
291,6,12,10,8,6,6,6,6,0.6,5,0.17,7,4,3,NA,NA,NA
292,6,1,10,8,6,5,5,5,0.5,3,0.4,3,1,NA,NA,NA,NA
293,5,24,10,8,5,5,5,5,0.5,5,0,5,5,2,NA,NA,NA
294,5,3,10,9,5,5,3,3,0.3,2,0.33,2,2,1,1,1,1
295,5,28,10,10,9,9,9,7,0.7,7,0,7,7,6,6,6,5
296,5,11,10,8,8,8,8,8,0.8,8,0,4,5,4,1,1,NA
