Unique_ID,Worksheet,Notes,Reference_code,Reference,
149,Density,Damuth Ref: 126,Cole 1972,"Cole, L. R., 1972. A comparison of Malacomys longipes and Malacomys edwardsi (Rodentia: Muridae) from a single locality in Ghana. Journal of Mammalogy, 53: 616-619.",
150,Density,Damuth Ref: 127,Collett 1975,"Collett, S. F., Sanches Hernandez, C., Shum, K. A., Jr., Teska, W. R. & Baker, R. H., 1975. Algunas caracteristicas poblaciones demograficos de pequenos mamiferos en dos habitats Mexicanos. Anales del Instituto de Biologia, Universidad Nacional Autonoma de Mexico. Serie Zoologia, 46:101-124.",
151,Density,Damuth Ref: 128,Collins 1973,"Collins, L. R., 1973. Monotremes and Marsupials: a Reference for Zoological Institutions. Washington, D.C.: Smithsonian Institution Press.  ",
152,Density,Damuth Ref: 129,Congdon 1975,"Congdon, J. & Roest, A., 1975. Status of the endangered Morro Bay kangaroo rat. Journal of Mammalogy, 56: 679-683.",
153,Density,Damuth Ref: 130,Conley 1976,"Conley, W., 1976. Competition between Microtus: a behavioral hypothesis. Ecology, 57: 224-237. ",
154,Density,Damuth Ref: 131,Connell 1954,"Connell, J. H., 1954. Home range and mobility of brush rabbits in California chaparral. Journal of Mammalogy, 36: 392-405.",
155,Density,Damuth Ref: 132,Cook 1961,"Cook, R. S. & Hale, J. B., 1961. Deer on the Bad River Indian Reservation. Transactions of the North American Wildlife and Natural Resources Conference, 26: 448-459.",
156,Density,Damuth Ref: 133,Cooper 1965,"Cooper, W. E., 1965. Dynamics and production of a natural population of a freshwater amphipod, Hyallella azteca. Ecological Monographs, 35: 377-394.",
157,Density,Damuth Ref: 134,Corbett 1978,"Corbett, G. B., 1978. The Mammals of the Palearctic Region: a taxonomic review. London and Ithaca: British Museum (Natural History) and Cornell University Press.",
158,Density,Damuth Ref: 733,Cordero 1981,"Cordero, R. & Ojasti, J., 1981. Comparison of capybara populations of open and forested habitats. Journal of Wildlife Management, 45: 267-271. Husson, A. M., 1978. The Mammals of Suriname. Leiden: E. J. Brill. ",
159,Density,Damuth Ref: 135,Cowan 1972,"Cowan, I. M., 1972. The status and conservation of bears (Ursidae) of the world—1970. In S. Herrero (Ed.), Bears-Their Biology and management: 343-367. Morges, Switzerland: International Union for the Conservation of Nature.",
160,Density,Damuth Ref: 136,Crawley 1973,"Crawley, M. C., 1973.A live-trapping study of Australian brush-tailed possums, Trichosurus vulpecula (Kerr), in the Orongorongo Valley, Wellington, New Zealand. Australian Journal of Zoology, 21: 75-90.",
161,Density,Damuth Ref: 137,Crisp 1962,"Crisp, D. T., 1962. Estimates of the annual production of Corixa germari (Fieb.) in an upland reservoir. Archiv fur Hydrobiologie, 58: 210-223.",
162,Density,Damuth Ref: 138,Crisp 1974,"Crisp, D. T.,Mann, R. H. K. & McCormack, J. C., 1974.The populations of fish at Cow Green, Teesdale, before impoundment. Journal of Applied Ecology, 11: 969-996.",
163,Density,Damuth Ref: 139,Dagg 1976,"Dagg, A. I. & Foster, J. B., 1976. The Giraffe: Its Biology, Behavior, and Ecology. New York: Van Nostrand Reinhold.",
164,Density,Damuth Ref: 140,Daly 1974,"Daly, M. & Daly, S., 1974. Spatial distribution of a leaf-eating Saharan gerbil (Psammomys obesus) in relation to its food. Mammalia, 38: 591-603.",
165,Density,Damuth Ref: 141,Dasmann 1962,"Dasmann, R. F. & Mossman, A. S., 1962a. Population studies of impala in Southern Rhodesia. Journal of Mammalogy, 43: 375-395.",
166,Density,Damuth Ref: 142,Dasmann 1962,"Dasmann, R. F. & Mossman, A. S., 1962b. Abundance and population structure of wild ungulates in some areas of Southern Rhodesia. Journal of Wildlife Management, 26: 262-269.",
167,Density,Damuth Ref: 143,Davenport 1964,"Davenport, L. B., Jr., 1964. Structure of two Peromyscus polionotus populations in old-field ecosystems at the AEC Savannah River Plant. Journal of Mammalogy, 45: 95-113.",
168,Density,Damuth Ref: 144,David 1978,"David, J. H. M., 1978. Observations on social organization of springbok, Antidorcas marsupialis, in the Bontebok National Park, Swellendam. Zoologica Africana, 13: 115-122.",
169,Density,Damuth Ref: 145,Davidge 1978,"Davidge, C., 1978. Ecology of baboons (Papio ursinus) at Cape Point. Zoologica Africana, 13: 329-350. ",
170,Density,Damuth Ref: 146,Davis 1972,"Davis, R. M., 1972. Behaviour of the vlei rat, Otomys irroratus (Brandts, 1827). Zoologica Africana, 7: 119-140. ",
171,Density,Damuth Ref: 147,Defler 1979,"Defler, T. R., 1979. On the ecology and behavior of Cebus albfrons in eastern Colombia: I. Ecology. Primates, 20: 475-490. ",
172,Density,Damuth Ref: 151,Delany 1966,"Delany, M. J. & Neal, B. R., 1966. A review of the Muridae (OrderRodentia) of Uganda. Bulletin of the British Museum of Natural History (Zoology), 13: 297-395. ",
173,Density,Damuth Ref: 150,Delany 1972,"Delany, M. J., 1972. The ecology of small rodents in tropical Africa. Mammal Review, 2: 1-42. ",
174,Density,Damuth Ref: 152,Denny 1975,"Denny, M. J. S., 1975. Mammals of Sturt National Park, Tibooburra, New South Wales. Australian Zoologist, 18: 179-195. ",
175,Density,Damuth Ref: 148,Dieterlen 1967,"Dieterlen, F., 1967. Okologische Populationstudien an Muriden des Kivugebietes (Congo).Teil I. Zoologische  Jahrbucher, Abteilung fur Systematik, Okologie und Geographie der Tiere, 94: 369-426. ",
176,Density,Damuth Ref: 149,Dieterlen 1969,"Dieterlen, F., 1969. Dendromus kahuziensis (Dendromurinae; Cricetidae; Rodentia)-eine neue Art aus Zentralafrika. Zeitschrift fur Saugetierkunde, 34: 348-353.",
177,Density,Damuth Ref: 153,Dixon 1964,"Dixon, J. E. W., 1964. Preliminary notes on the mammal fauna of the Mkuzi Game Reserve. The Lammergeyer, 3: 40-58. ",
178,Density,Damuth Ref: 154,Dolbeer 1972,"Dolbeer, R. A., 1972. The snowshoe hare in the western United States: its status and potential as a game animal. Proceedings of the Annual Conference of the Western Association of State Game and Fish Commissioners, 52: 331-342. ",
179,Density,Damuth Ref: 155,Dolbeer 1973,"Dolbeer, R. A., 1973. Reproduction in the red squirrel (Tamiasciurus hudsonicus) in Colorado. Journal of Mammalogy, 54: 536-540. ",
180,Density,Damuth Ref: 156,Dolbeer 1975,"Dolbeer, R. A. & Clark, W. R., 1975. Population ecology of snowshoe hares in the central Rocky Mountains. Journal of Wildlife Management, 39: 535-549. ",
181,Density,Damuth Ref: 159,Dorst 1970,"Dorst, J. & Dandelot, P., 1970. Saugetiere Afrikas. Hamburg: Paul Parey. ",
182,Density,Damuth Ref: 157,Dorst 1971,"Dorst, J., 1971. Nouvelles recherches sur l’ecologie des rongeurs des hauts plateaux Peruviens. Mammalia, 35: 515-547. ",
183,Density,Damuth Ref: 158,Dorst 1972,"Dorst, J., 1972 .Morphologie de l’estomac et regime alimentaire de quelques rongeurs des hauts Andes du Perou. Mammalia, 36: 647-656. ",
184,Density,Damuth Ref: 160,Dowsett 1966,"Dowsett, R. J., 1966. Wet season game populations and biomass in the Ngoma area of the Kafue National Park. The Puku, 4: 135-145. ",
185,Density,Damuth Ref: 161,Dub 1971,"Dub, M., 1971. Movements of Microtus arualis Pall. and a method of estimating its numbers. Zoologice Listy, 20: 1-14. ",
186,Density,Damuth Ref: 162,Dubost 1978,"Dubost, G., 1978. Un apercu sur l’ecologie du chevrotain africain Hyemoschus aquaticus Ogilby, Artiodactyle Tragulide. Mammalia, 42: 1-62.",
187,Density,Damuth Ref: 163,Duke 1975,"Duke, K. M. & Crossley, D. A., Jr., 1975. Population energetics and ecology of the rock grasshopper, Trimerotopsis saxatalis. Ecology, 56: 1106-1117. ",
188,Density,Damuth Ref: 165,Dunbar 1974,"Dunbar, R. I. M. & Dunbar, E. P., 1974. Ecological relations and niche separation between sympatric terrestrial primates in Ethiopia. Folia Primatologica, 21: 36-60. ",
189,Density,Damuth Ref: 166,Dunbar 1975,"Dunbar, R. I. M. & Dunbar, E. P., 1975. Guereza monkeys: will they become extinct in Ethiopia? Walia, 6: 14-15. ",
190,Density,Damuth Ref: 164,Dunbar 1978,"Dunbar, R. I. M., 1978. Competition and niche separation in a high altitude herbivore community in Ethiopia. East African Wildlife Journal, 16: 183-199. ",
191,Density,Damuth Ref: 167,Dunnett 1956,"Dunnett, G. M., 1956a. A population study of the quokka, Setonix brachyurus Quoy & Gaimard (Marsupialia). CSIRO Wildlife Research, 1: 73-78. ",
192,Density,Damuth Ref: 168,Dunnett 1956,"Dunnett, G. M., 1956b. A live-trapping study of the brush-tailed possum Trichosurus vulpecula Kerr (Marsupialia). CSIRO Wildlife-Research, 1: 1-18. ",
193,Density,Damuth Ref: 169,Dunnett 1964,"Dunnett, G. M., 1964. A field study of local populations of the brush-tailed possum Trichosurus vulpecula in eastern Australia. Proceedings of the Zoological Society of London, 142: 665-695. ",
194,Density,Damuth Ref: 170,Dunsmore 1974,"Dunsmore, J. D., 1974. The rabbit in subalpine southeastern Australia. I. Population structure and productivity. Australian Wildlife Research, 1: 1-16.",
195,Density,Damuth Ref: 171,Duplessis 1972,"Duplessis, S. S., 1972. Ecology of blesbok with special reference to productivity. Wildlife Monographs, 30: 1-70.",
196,Density,Damuth Ref: 172,Dupuy 1977,"Dupuy, A. R. & Verschuren, J., 1977. Wildlife and parks in Senegal. Oryx, 14: 3-6.",
197,Density,Damuth Ref: 173,Dwyer 1978,"Dwyer, P. D., 1978. A study of Rattus exulans (Peale) (Rodentia: Muridae) in the New Guinea highlands. Australian Wildlife Research, 5: 221-248.",
198,Density,Damuth Ref: 174,Ealey 1964,"Ealey, E.-H.-M., 1964. L’euro, ou kangourou des collines, Macropus robustus, dans le nord-ouest d’Australie. La Terre et La Vie, 19: 3-19.",
199,Density,Damuth Ref: 175,Ealey 1967,"Ealey, E. H. M., 1967. Ecology of the euro, Macropus robustus (Gould), in north-western Australia. I. The environment and changes in euro and sheep populations. CSIRO Wildlife Research, 12: 9-25.",
200,Density,Damuth Ref: 176,Eaton 1974,"Eaton, R. L., 1974. The Cheetah: The Biology, Ecology, and Behavior of an Endangered Species. New York: Van Nostrand Reinhold.",
201,Density,Damuth Ref: 177,Eaton 1978,"Eaton, R. L., 1978. The conservation of the leopard in Africa: towards an authentic philosophy of conservation. Carnivore, 1: 82-150.",
202,Density,Damuth Ref: 178,Eckblad 1973,"Eckblad, J. W., 1973. Population studies of three aquatic gastropods in an intermittent backwater. Hydrobiologia, 41: 199-219.",
203,Density,Damuth Ref: 179,Edroma 1975,"Edroma, E. L., 1975. Wildlife count in Uganda National Park. Oryx, 13: 176-178.",
204,Density,Damuth Ref: 180,Edwards 1942,"Edwards, O.T., 1942. Survey of winter deer range, Malheur National Forest, Oregon. Journal of Wildlife Management, 6: 210-220.  ",
205,Density,Damuth Ref: 185,Eisenberg 1973,"Eisenberg, J. F. & Thorington, R. W., 1973.A preliminary analysis of a neotropical mammal fauna. Biotropica, 5: 150-161.",
206,Density,Damuth Ref: 184,Eisenberg 1976,"Eisenberg, J. F. & Seidensticker, J., 1976. Ungulates in southern Asia: a consideration of biomass estimates for selected habitats. Biological Conservation, 10: 293-308. ",
207,Density,Damuth Ref: 181,Eisenberg 1979,"Eisenberg, J. F., 1979. Habitat, economy, and society: some correlations and hypotheses for the neotropical primates. In I. S. Bernstein & E. O. Smith (Eds), Primate Ecology and Human Origins: Ecological Influences on Social Organization: 216-262. New York: Garland STPM Press. ",
208,Density,Damuth Ref: 183,Eisenberg 1979,"Eisenberg, J. F., O’Connell, M. A. & August, P. V., 1979. Density, productivity, and distribution of mammals in two Venezuelan habitats. In J. F. Eisenberg (Ed.), Vertebrate Ecology in the Northern Neotropics: 187-207. Washington, D.C.: Smithsonian Institution Press. ",
209,Density,Damuth Ref: 182,Eisenberg 1981,"Eisenberg, J. F., 1981. The Mammalian Radiations: An Analysis of Trends in Evolution, Adaptation, and Behavior. Chicago: University of Chicago Press. ",
210,Density,Damuth Ref: 186,Eisentraut 1970,"Eisentraut, M., 1970. Die Verbreitung der Muriden-Gattung Praomys auf Fernando Po und West-Kamerun. Zeitschrift fur Saugetierkunde, 35: 1-15. ",
211,Density,Damuth Ref: 187,Eley 1970,"Eley, T. J., Jr., 1970. Stomach contents, weights, and volumes of Cape hare. East African Wildlife Journal, 8: 202. ",
212,Density,Damuth Ref: 188,Elliott 1973,"Elliott, J. M., 1973. The life cycle and production of the leech Erpobdella octoculata (L.) (Hirudinea: Erpobdellidae) in a lake district stream. Journal of Anima1 Ecology, 42: 435-448. ",
213,Density,Damuth Ref: 189,Elliott 1978,"Elliott, J. P. & Cowan, I. M., 1978. Territoriality, density, and prey of the lion in Ngorogoro Crater, Tanzania. Canadian Journal of Zoology, 56: 1726-1734. ",
214,Density,Damuth Ref: 190,Ellisor 1969,"Ellisor, J. E., 1969. Mobility of white-tailed deer in South Texas. Journal of Wildlife Management, 33: 220-222. ",
215,Density,Damuth Ref: 191,Ellisor Harwell 1969,"Ellisor, J. E. & Harwell, W. F., 1969. Mobility and home range of collared peccary in southern Texas. Journal of Wildlife Management, 33: 425-427. ",
216,Density,Damuth Ref: 195,Eltringham 1973,"Eltringham, S. K. & Woodford, M. H., 1973.The numbers and distribution of buffalo in the Rwenzori National Park, Uganda. East African Wildlife Journal, 11: 151-164. ",
217,Density,Damuth Ref: 192,Eltringham 1974,"Eltringham, S. K., 1974. Changes in the large mammal community of Mweya Peninsula, Rwenzori National Park, Uganda, following removal of hippopotamus. Journal of Applied Ecology, 11: 855-865. ",
218,Density,Damuth Ref: 193,Eltringham 1977,"Eltringham, S. K., 1977. The number and distribution of elephant Loxodonta africana in the Rwenzori National Park and Chambura Game Reserve, Uganda. East African Wildlife Journal, 15: 19-39. ",
219,Density,Damuth Ref: 194,Eltringham Din 1977,"Eltringham, S. K. & Din, N. A., 1977. Estimates of the population size of some ungulate species in the Rwenzori National Park, Uganda. East African Wildlife Journal, 15: 305-316. ",
220,Density,Damuth Ref: 196,Erickson 1964,"Erickson, A. W. & Petrides, G. A., 1964. Population structure, movements, and mortality of tagged black bears in Michigan. Michigan State University Research Bulletin, 4: 46-67. ",
221,Density,Damuth Ref: 197,Erlinge 1974,"Erlinge, S., 1974. Distribution, territoriality and numbers of the weasel Mustela nivalis in relation to prey abundance. Oikos, 25: 308-314. ",
222,Density,Damuth Ref: 198,Esser 1979,"Esser, J. D. & Van Lavieren, L. P., 1979. Importance, répartition, et tendance évolutive des populations de grands herbivores et de l’autruche dans le Parc National de Waza, Cameroun. La Terre et La Vie, 33: 3-26. ",
223,Density,Damuth Ref: 200,Evans 1951,"Evans, F. C., 1951.Notes on a population of the striped ground squirrel (Citellus tridecemlineatus) in an abandoned field in Michigan. Journal of Mammalogy, 32: 437-449. ",
224,Density,Damuth Ref: 199,Evans 1966,"Evans, C. D., Troyer, W. A. & Lensink, C. J., 1966. Aerial census of moose by quadrat sampling units. Journal of Wildlife Management, 30: 767-776. ",
225,Density,Damuth Ref: 201,Everard 1973,"Everard, C. 0.R. & Tikasingh, E. S., 1973.Ecology of the rodents Proechimys guyannensis trinitatis and Oryzomys capito velutinus on Trinidad. Journal of Mammalogy, 54: 875-886. ",
226,Density,Damuth Ref: 202,Ewer 1973,"Ewer, R. F., 1973. The Carnivores. Ithaca, New York: Cornell University Press. ",
227,Density,Damuth Ref: 203,Fairbairn 1977,"Fairbairn, D. J., 1977. The spring decline in deer mice: death or dispersal? Canadian Journal of Zoology, 55: 84-92.",
228,Density,Damuth Ref: 204,Feely 1960,"Feely, J. M. & Player, I. C., 1960. A preliminary report on the square-lipped rhinoceros Ceratotherium simum simum. The Lammergeyer, 1: 3-24.",
229,Density,Damuth Ref: 205,Feist 1975,"Feist, D. D., 1975. Population studies of lemmings in the coastal tundra of Prudhoe Bay, Alaska. In J. Brown (Ed.), Ecological Investigations of the Tundra Biome in the Prudhoe Bay Region, Alaska. Biological Papers of the University of Alaska, Special Report, 2: 135-143. Fairbanks, Alaska. ",
230,Density,Damuth Ref: 206,Ferns 1977,"Ferns, P. N., 1977. Muskox abundance in the southern part of the range in east Greenland. Arctic, 30: 52-60.",
231,Density,Damuth Ref: 208,Field 1970,"Field, C. R. & Laws, R. M., 1970. The distribution of the larger herbivores in the Queen Elizabeth National Park, Uganda. Journal of Applied Ecology, 7: 273-294.",
232,Density,Damuth Ref: 207,Field 1971,"Field, C. R., 1971. Elephant ecology in the Queen Elizabeth National Park, Uganda. East African Wildlife Journal, 9: 99-123.",
233,Density,Damuth Ref: 209,Fitch 1947,"Fitch, H. S., 1947. Ecology of a cottontail rabbit (Sylvilagus auduboni) population in central California. California Fish and Game, 33: 159-184.",
234,Density,Damuth Ref: 210,Fitzgerald 1977,"Fitzgerald, B. M., 1977. Weasel predation on a cyclic population of the montane vole (Microtus montanus) in California. Journal of Animal Ecology, 46: 367-397.",
