site,Leaf_N_g/kg,Leaf_P_g/kg,NPP_kgCm-2y-1,Mean_annual_temperature_°„C,Thornthwaite_moisture_index,Soil_total_N_Concentration_g/kg,Soil_total_P_Concentration_g/kg,Type
HANCJ,24.23372402,2.426443739,0.72925,24.01089167,18.93391609,0.66748766,0.25872463,Shrub community
HANCM,11.14612565,0.471216558,0.644025,23.74659167,58.51417542,0.37982023,0.07545806,Shrub community
HANDF1,39.45626497,2.610526316,0.674075,23.91861667,5.302042961,0.21220814,0.34189781,Shrub community
HANDF2,47.52444267,3.351851852,NA,NA,NA,0.19858582,0.36732253,Shrub community
HANDF3,29.89859705,2.154938101,NA,25.30833324,-29.78685951,0.4476928,0.28523442,Shrub community
HANDF4,46.17233753,2.503846154,NA,25.30833324,-29.78685951,0.18128403,0.5261255,Shrub community
HANDF5,64.94169712,4.531746032,0.831375,24.40129167,-11.45431232,0.36074742,0.21154151,Shrub community
HANDF6,54.92678642,3.665322581,0.831375,24.40129167,-11.45431232,0.2743966,0.50574451,Shrub community
HANSY,15.90578292,0.901191679,0.7005,24.80645,14.95969582,0.84349076,0.17891514,Shrub community
HANSY2,13.51980958,0.968652087,0.777525,25.7302,-3.387042999,0.68285964,0.22762514,Shrub community
HANWC1,29.06019615,1.704403397,0.533375,24.12015,45.93286514,0.45095811,0.18105449,Shrub community
HANWC2,28.36022854,2.17047817,0.5113,24.5,26.52954102,0.37512194,0.17942978,Shrub community
HB001,23.78522873,1.484691245,0.4359,4.734881667,-21.94714355,0.98686877,0.33099746,Shrub community
HB002,25.20701011,1.597924889,0.4359,4.7810375,-21.77737617,2.76681884,0.5599464,Shrub community
HB003,20.03271023,1.231242981,0.4359,4.734881667,-21.94714355,1.47801237,0.26560467,Shrub community
HB004,24.94236946,1.842598715,0.378,3.044456667,-20.52067184,1.1478223,0.23372407,Shrub community
HB005,23.62296104,1.818119327,0.378,3.044456667,-20.52067184,NA,NA,Shrub community
HB006,15.89055101,1.031636984,0.348925,6.335853083,-29.75118256,0.81524563,0.50258122,Shrub community
HB007,25.86988688,1.733757167,0.2654,7.321162917,-34.47839355,1.12563709,0.46841709,Shrub community
HB008,17.79177507,1.122071835,0.3102,6.2889515,-32.15916824,1.34647891,0.87312923,Shrub community
HB010,24.21513319,1.401902731,0.4517,4.4826275,-22.92395592,NA,NA,Shrub community
HB012,26.27505064,1.831433821,0.449025,4.0318525,-21.27145576,1.06945335,0.58246553,Shrub community
HB014,17.58882721,0.885399732,0.421025,5.843676667,-24.10798073,1.33558864,0.47244516,Shrub community
HB015,22.43212541,1.243517585,0.39125,2.8650925,-20.25240898,5.84497538,1.23601734,Shrub community
HB016,19.07239358,1.149928135,0.427425,5.288168333,-21.32806015,NA,NA,Shrub community
HB017,23.05954883,2.26854211,0.438025,2.537215833,-24.26953506,3.13649759,0.57476623,Shrub community
HB018,21.62950056,1.49211752,0.465275,2.537215833,-24.26901627,1.30922337,0.19323106,Shrub community
HB019,21.21367862,1.495835313,0.461125,5.642035,-19.77070808,4.06479836,0.5296875,Shrub community
HB020,23.61922133,1.453562149,0.418625,6.479695,-23.71809006,NA,NA,Shrub community
HB021,5.315241316,0.302330955,0.4434,6.677354,-16.74175644,NA,NA,Shrub community
HB022,23.32748389,1.317557842,0.41575,9.0817515,-23.39765167,NA,NA,Shrub community
HB023,18.79548818,0.869254873,0.452525,5.913086667,-28.10913277,0.85580193,0.53601109,Shrub community
HB024,18.93194397,1.576442463,0.427425,5.288168333,-21.32806015,1.88616847,0.46195413,Shrub community
HB030,31.67407442,1.818521822,0.31695,0.838360833,-15.69074631,0.82236467,0.17067859,Shrub community
HB031,14.30163383,0.844675412,0.430425,4.271403333,-23.06080055,1.92052338,0.41700478,Shrub community
HB032,22.5345242,1.337304862,0.428275,2.470324167,-18.58805847,3.69298468,0.70263863,Shrub community
HB033,15.55489381,1.141812309,0.4961,3.2917375,-9.463047028,1.6968406,0.55874197,Shrub community
HB034,14.58345612,1.063458776,0.4961,3.2917375,-9.462729454,2.75757254,0.61506733,Shrub community
HB035,15.28793613,0.882992872,0.367575,4.804865833,-22.06791687,1.93627711,0.50254363,Shrub community
